id,title,parent,parentLabel,cluster,clusterLabel,clusterDefault,kwEvidence,source,track,hidden
fista_net,FISTA-Net: Unrolled Optimization for CT and Electromagnetic Tomography,8,Iterative & Sparse-View CT Reconstruction,65,Limitedangle & Minimization & Accurate,ct,CT,kw:CT,ct,
admm_ct,ADMM-TransNet: ADMM-Based Sparse-View CT Combining Convolution and Transformer,8,Iterative & Sparse-View CT Reconstruction,70,Iterative & Lowdose & Priors,ct,CT+AIFND,kw:CT,both,
tomo_nerf,Tomo-NeRF: Neural Radiance Fields for Ultrasparse View CT,8,Iterative & Sparse-View CT Reconstruction,65,Limitedangle & Minimization & Accurate,ct,CT+AIFND,kw:CT,both,
dual_domain_sinogram,Efficient Deep Unrolling Network via Alternating Dense-View Sinograms and Images,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,ct,
l1_sl0_pocs,L1/SL0-POCS Algorithm for Sparse-View CT,8,Iterative & Sparse-View CT Reconstruction,71,Sparse & Sparseview & Spectral,ct,CT,kw:CT,ct,
stc_unet,STC-UNet: Synchrotron Sparse-View CT Artifact Correction via Deep Learning,8,Iterative & Sparse-View CT Reconstruction,70,Iterative & Lowdose & Priors,ct,CT,kw:CT,both,
task_based_eval,Task-Based Evaluation of Sparse View CT for Intracranial Hemorrhage Diagnosis,8,Iterative & Sparse-View CT Reconstruction,71,Sparse & Sparseview & Spectral,ct,CT,kw:CT,ct,
diffusion_noisy_lact,Diffusion-Based Limited-Angle CT Reconstruction Under Noisy Conditions,8,Iterative & Sparse-View CT Reconstruction,65,Limitedangle & Minimization & Accurate,ct,CT,kw:CT,both,
limited_angle_e2e,Limited-Angle Tomography Reconstruction via Deep End-to-End Learning on Synthetic Data,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,ct,
sr_dlr,SR-DLR: Super-Resolution Deep Learning Reconstruction for Dynamic Myocardial CT Perfusion,4,Clinical CT Denoising & DL Reconstruction,16,Superresolution & Coronary & Angiography,ct,CT,kw:CT,both,
orthofusion,OrthoFusion: A Super-Resolution Algorithm to Fuse Orthogonal CT Volumes,2,Image Super-Resolution,42,Superresolution & Application & Chest,med,CT,kw:CT,ct,
dental_sr,Deep Learning Super-Resolution for Dental CBCT Using Micro-CT Reference and Edge Loss,2,Image Super-Resolution,42,Superresolution & Application & Chest,med,CT,kw:CT,both,
edsr_rock,Deep Learning of Multiresolution X-Ray Micro-CT Images for Multiscale Modeling,7,CT Reconstruction Foundations,56,Directional & Wavelets & Lowdose,ct,CT,kw:CT,both,
lung_3d_sr,Impact of Deep Learning 3D CT Super-Resolution on AI-Based Pulmonary Nodule Characterizati,4,Clinical CT Denoising & DL Reconstruction,33,Chest & Noise & Lung,ct,CT,kw:CT,both,
omnisr_sinsr,OmniSR and SinSR: Comparing Residual Learning vs. One-Step Diffusion for Preclinical CT,4,Clinical CT Denoising & DL Reconstruction,28,Denoising & Lowdose & Noise,both,CT,kw:CT,both,
